,channel,year,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27
0,1_spa,2016,0.001065102612806691,0.23719766556664748,0.00016462387241147184,0.032742114944590464,0.03157181652366287,0.17936347543986308,0.002746808860037062,0.0,0.0,0.03330710807090832,0.01265434318015145,0.05063268611276591,0.0009069868484167037,0.0,0.00014858510069273138,0.09557432421759048,0.0289534831126393,0.018663296864057582,0.0,0.00028919916668975794,0.04564955289889541,0.0032525059284159432,0.0192311762538911,0.1915829568601179,0.0,0.0,0.0
1,1_spa,2017,0.00020846899351559332,0.26744950635823683,0.0,0.026970470121229797,0.06873838804409574,0.17065593600004353,0.0022437929204016023,0.0,0.0,0.021876623742497416,0.011724431379489912,0.040172322411332034,0.008228630852894952,5.629576989926645e-05,0.0001857379400325888,0.08781508959743797,0.02062772148964768,0.008542553427619766,0.0,0.0,0.049352085332065004,1.4528023377383426e-05,0.004199707365902557,0.1970662141506376,0.0,4.373512044011428e-05,0.0
2,1_spa,2018,0.0001035344784049699,0.24121290764059894,0.0,0.02239266806282103,0.05974718466580423,0.17418706951003451,0.0015365998173907677,0.0,0.0006356511759623793,0.028963715895165845,0.038015363669971595,0.030342846057487664,0.003551804165569892,3.77965466298672e-05,0.00033695511924831766,0.06701301656495665,0.02809585821641297,0.0035090435958635177,0.0,1.589342032021247e-05,0.051638814656827486,2.0034855624996356e-05,0.002852050292519679,0.23227738927158972,0.0,0.0,0.0
3,1_spa,2019,5.7653336344099163e-05,0.2550493489712916,0.0,0.02434016150680968,0.03468277815418176,0.18864067475235946,0.005102131433363921,0.0,3.369106780691873e-05,0.033657396205355405,0.06094208847804576,0.05098926254230064,0.006881560205827474,0.0,0.00021212870204770888,0.04867188095890846,0.015165241263550535,0.0020540308445252714,0.0,0.0,0.061120347447089246,0.0,0.004977876187762113,0.19504199568777178,0.0,0.0,0.0
4,Telecinco,2016,0.0,0.30222340133928116,0.0,0.021552952884563378,0.012810677485097023,0.08359335203255926,0.003863037484032767,0.0,0.0,0.08216620483213948,0.004517857925522895,0.04045330050977922,0.0026509002560660953,0.0,0.0,0.15872973405889101,0.030515797072578045,0.015705317338662487,0.0,0.0,0.0022455310449004174,0.002311671729243937,0.02128835724045833,0.2004748855318342,0.0,0.0,0.0
5,Telecinco,2017,5.040960741007256e-05,0.3413371525943757,0.0,0.0240610975992375,0.044194901007449695,0.0653299688005107,0.0011065323540347372,0.0,0.0,0.06394276038588646,0.006733330744943901,0.03423751189647791,0.010012577765645507,0.0,0.00036559796487102526,0.1505365320565347,0.02518713098198534,0.00420203605080714,0.0,0.0,0.002597806400401081,0.0,0.005051696075794692,0.20756913545748634,0.0,0.0,0.0
6,Telecinco,2018,2.7986589688152525e-05,0.309969751838239,0.0,0.03224976883789328,0.0274763546191418,0.059273994792177896,0.010006237377286257,0.0,0.0011332326465702835,0.09108991484068821,0.014941259467478223,0.011375271666083653,0.0035862708557865127,0.0,0.00012082796328555999,0.1334288282525824,0.036558141239249525,0.0022526378228549084,0.0,0.0,0.003939947806036652,0.0,0.0010728816497116232,0.24683126515180023,0.0,0.0,0.0
7,Telecinco,2019,0.0,0.3256165558897604,0.0,0.005568928114600538,0.03350466420126008,0.08137106474518306,0.0,0.0,0.00036946018996435827,0.0894454379573347,0.024060983452799282,0.01850154574256478,0.011148718889714696,0.0,0.0013797982544528219,0.1553897367218348,0.026365240185162214,0.0005642210287371958,0.0,0.0,0.003087560198907777,9.06731845356348e-05,0.007346293778987382,0.20196242084888022,0.0,0.0,0.0
8,Telecinco,2020,0.0,0.3835906098286311,0.0,0.0020901201085911855,0.015301176201966074,0.23733802278422647,0.0,0.0,0.0,0.057792550925579333,0.026723133793307676,0.0036779728200700547,0.003927727871470981,0.0,0.0008380085850755374,0.138703087468942,0.010482862757311927,0.001556611330144935,0.0,0.0,0.0016278125345706939,0.0,0.009953736368980672,0.09095456567075517,0.0,0.0,0.0
9,Telemadrid,2016,0.0,0.21936769504100084,0.0,0.009734689964846308,0.010351738243895982,0.3218575783040641,0.0,0.0,0.0,0.049822175717313906,0.010975229620401348,0.026330044892217432,0.0034692471131815444,0.0,0.0,0.13771376677323133,0.014945432227770132,0.005423545172171933,0.0,0.0,0.004353019001428038,0.001341651368420571,0.02939257231940116,0.1368921111154902,0.0,0.0,0.0
10,Telemadrid,2017,0.000101189556885153,0.2095637157397067,0.0,0.014013474263757071,0.044837493097280294,0.2983490874622144,4.276632437237608e-05,0.0,0.0,0.037235521111620845,0.018676367139875714,0.031234083772861184,0.007745010668255025,0.0,0.0006496336013959113,0.12951451826268365,0.012946087044376215,0.001188783669786492,0.0,0.0,0.004361829097263042,0.0,0.005278826204226235,0.1677053473047923,0.0,0.0,0.0
11,Telemadrid,2018,8.514896983588057e-05,0.19891465811699993,0.0,0.015321551103243517,0.02790879910383108,0.286213751290517,2.8757016172598433e-05,0.0,0.0005301511286930494,0.045265755707174234,0.04015365619280673,0.020046832834706166,0.003413565987967668,0.0,0.0006838786356955341,0.10935080809568011,0.020795919924837872,0.0011267408353035659,0.0,4.5590197511942954e-05,0.002344172732437944,0.0,0.0051554695261137795,0.2066903878762074,0.0,0.0,0.0
12,Telemadrid,2019,9.059984591426712e-05,0.22212179863902354,0.0,0.007619258989471293,0.018243582394221528,0.2616597828814757,8.818848456525289e-05,0.0,0.00018801450849756517,0.05439652352220976,0.06396517365889981,0.030227108928751155,0.013838750856997081,2.3809111137043425e-05,0.0003699634936462613,0.1293472156992025,0.016783901313035556,0.0003381216634379255,0.0,1.9012652738839122e-05,0.001504357198597713,0.0,0.0037572677506391406,0.15857829485269168,0.0,0.0,0.0
13,antena3,2016,0.0,0.26537775750690645,0.0,0.02608553383396853,0.028677636099586245,0.11879544684646326,0.0,0.0,0.0,0.05160924870896777,0.0240958972039436,0.07372953334327685,0.0015384113125571418,0.0,0.0,0.11767258448953476,0.022410346733389097,0.022489508904448344,0.0,0.0,0.0026248631178649195,0.0031797312917785907,0.01782461958125644,0.2121230425620708,0.0,0.0,0.0
14,antena3,2017,0.00014287256031841983,0.2754112152377364,0.0,0.02373569733422969,0.08641319226081716,0.08102518929603378,0.0026953239476989943,0.0,4.83815891061633e-05,0.03670431376281879,0.020050725213893467,0.047411589233757614,0.012227013206608616,0.0,0.00010388189529522351,0.12399303186443293,0.018890206065962912,0.010019287397220774,0.0,0.0,0.004953755620029629,0.0,0.003444010756845433,0.2393640496121231,0.0,0.0,0.0
15,antena3,2018,5.819625221192837e-05,0.2340487351324013,0.0,0.016544241440839113,0.06769479785926957,0.07913736716170419,0.004543650934987879,0.0,0.0013650088283689097,0.038307207673688996,0.03796650413077007,0.020803780986015943,0.001064779192328136,0.0,0.00019110430111276343,0.12530295448774037,0.03626326748982389,0.0054439130472019315,0.0,0.0,0.006102452663942538,0.0001337161768188185,0.005708488615903448,0.3041869082260243,0.0,0.0,0.0
16,antena3,2019,2.0134969477810304e-05,0.2887729115306728,0.0,0.007297744363558936,0.04006484097959772,0.09442185928250395,1.9214122319000366e-05,0.0,0.00042611265218931343,0.04670170935037315,0.0820669522634621,0.04215684155721538,0.01493352321157166,0.0,0.0002861728822627116,0.1216107200545339,0.02483903567666348,0.003038816139868399,0.0,6.109461640628152e-05,0.0038474844611590666,0.0,0.0032254983427577838,0.21327380209526717,0.0,0.0,0.0
17,laSexta,2016,0.0006135184825821357,0.13456059799275616,0.0,0.0046893453394824805,0.045522209561683916,0.10883955036035993,0.00020042419094930996,0.0,0.0,0.11183513891459866,0.07265910867770964,0.11910589403388175,0.0013103845190595496,0.0,0.0,0.10533882035789165,0.010196542316539721,0.0208920368924737,0.0,0.0,0.0016388362442905252,0.003477557392960245,0.006986161169003357,0.23462232561274007,0.0,0.0,0.0
18,laSexta,2017,0.0005115210298496766,0.14382008410915625,6.677217126020546e-05,0.00425795350191803,0.11923620003530055,0.08152497025241326,0.00047708052651522325,2.6552243763114592e-05,0.0,0.10923310410423212,0.055473123654424715,0.07145232919774129,0.00987549763151547,0.00011532722395419734,0.00018730035347488304,0.11932536105735918,0.01370770869262314,0.0123962958240735,0.0,0.00013029933354160474,0.0011412718070828182,0.0001341221795466666,0.002887926076422945,0.23616649039377471,0.0,0.00016877993552256721,0.0
19,laSexta,2018,0.00037714705970930926,0.12970375600568157,0.0,0.005744016939833602,0.1028723570473611,0.09548575791995972,4.6484950097634435e-05,3.551709852082298e-05,0.002335433994340611,0.10801698065590748,0.07339034175520089,0.0448055825087222,0.0036145320033377157,0.00011167357963054105,0.0002793468896577016,0.10118174420154476,0.03290866963575257,0.005254812412300801,0.0,2.7319012665526665e-05,0.001279733745638836,8.792030139568639e-05,0.006515661740001846,0.2683948378915839,0.0,0.0,0.0
20,laSexta,2019,0.00021903935265167918,0.14887849312565604,0.0,0.004789307869516956,0.07456558545367467,0.10337190838710306,0.0004609909015762826,1.988127707880362e-05,0.00023732592813456322,0.11370934092624084,0.15101567902105864,0.07772032043529445,0.012763398954748805,0.0,0.00015772184650153677,0.09448516116258507,0.02333045287243707,0.0031822307426135755,0.0,1.8492248066891673e-05,0.0020801461917898177,2.1441461433311405e-05,0.004557339012837148,0.16827132071284875,0.0,0.0,0.0
